name,fuente,lat,lon
Cengicaña,ICC,14.329931,-91.05425
Trinidad Magdalena,ICC,13.93205,-90.258211
Insivumeh Zona 13,Davis,14.58719,-90.5327
San Juan Sacatepequez,Davis,14.71846,-90.64259
Palencia,Davis,14.66655,-90.364
Antigua Guatemala,Davis,14.55746,-90.73339
Guatemala Z01,Davis,14.6372,-90.51267
Ciudad Vieja,Davis,14.52476,-90.76152
San Miguel Dueñas,Davis,14.52389,-90.79734
Santiago Sacatepéquez,Davis,14.63335,-90.67849
Sumpango,Davis,14.64664,-90.7372
Guatemala Z03,Davis,14.62407,-90.53315
Chimaltenango,Davis,14.66094,-90.8187
El Tejar,Davis,14.64611,-90.79177
Patzún,Davis,14.68302,-91.0144
San José Poaquil,Davis,14.81686,-90.9127
Zaragoza,Davis,14.65003,-90.89151
San Andrés Itzapa,Davis,14.62164,-90.8441
El Quetzal,Davis,14.76761,-91.81792
La Reforma,Davis,14.80044,-91.82056
Pajapita,Davis,14.72261,-92.03498
Coatepeque,Davis,14.70361,-91.86152
San Martín Zapotitlán,Davis,14.60844,-91.60728
Chahal,Davis,15.78841,-89.60211
San Juan Chamelco,Davis,15.42774,-90.33189
Panzós,Davis,15.39856,-89.64152
Rabinal,Davis,15.08594,-90.4918
San Miguel Chicaj,Davis,15.09448,-90.39565
Salamá,Davis,15.10187,-90.31893
Guatemala Z18,Davis,14.65249,-90.47592
Senahú,Davis,15.41612,-89.82196
San Felipe,Davis,14.62441,-91.59708
Catarina,Davis,14.85634,-92.07664
San Antonio Sacatepéquez,Davis,14.96073,-91.7324
San Cristóbal Cucho,Davis,14.90574,-91.7807
San José Ojetenam,Davis,15.23433,-91.97357
San Lorenzo Sm,Davis,15.03186,-91.73592
San Miguel Ixtahuacán,Davis,15.27148,-91.74855
Tejutla,Davis,15.12242,-91.80511
Agua Blanca,Davis,14.49735,-89.6479
San Pedro Sacatepéquez Gua,Davis,14.68644,-90.64233
Sibinal,Davis,15.14926,-92.04883
Tajumulco,Davis,15.08366,-91.9232
Xoluta,ICC,14.477133,-91.863067
Melchor De Mencos,Davis,17.06407,-89.1531
Poptún,Davis,16.33134,-89.42323
Stg5,Davis,14.67244,-91.58074
San Benito,Davis,16.92074,-89.90635
San Francisco,Davis,16.80079,-89.93436
Insivumeh Petén,Davis,16.91936,-89.88395
San Antonio Palopó,Davis,14.69126,-91.1167
Tecpán,Davis,14.75958,-90.99543
Teculután,Davis,14.99154,-89.71883
"Flores, Petén",Davis,16.91856,-89.89811
Colotenango,Davis,15.40521,-91.71445
Jacaltenango,Davis,15.66714,-91.7152
La Libertad Huehuetenango,Davis,15.51353,-91.86953
Nentón,Davis,15.80168,-91.75387
San Antonio Huista,Davis,15.65329,-91.7717
Santa Catarina Palopó,Davis,14.72334,-91.13536
Cuilco,Davis,15.40751,-91.9471
Concepción Chiquirichapa,Davis,14.8543,-91.62383
San Martín Sacatepéquez,Davis,14.82436,-91.64223
Colomba,Davis,14.70695,-91.73219
